#,apiName,apiMethod,apiPath,apiInputsFile,toBeValidated,Module,fileType,payloadJSON,expectedJSON,consentPerson,scenario,mysql
1,Validate_DataMigrationOnly,NA,NA,Validate_DataMigrationOnly.csv,n,Data migration,json,Validate_DataMigrationOnly.json,Validate_DataMigrationOnly.json,Naveen,y,n
2,Validate_PreValidationOnly,NA,NA,Validate_PreValidationOnly.csv,n,Pre-Validation,json,Validate_PreValidationOnly.json,Validate_PreValidationOnly.json,Naveen,y,n
3,Validate_RCF_PreValidationOnly,NA,NA,Validate_RCF_PreValidationOnly.csv,n,Pre-Validation,json,Validate_RCF_PreValidationOnly.json,Validate_RCF_PreValidationOnly.json,Naveen,y,n
4,Validate_UndoMigration,NA,NA,Validate_UndoMigration.csv,n,Undo Migration,json,Validate_UndoMigration.json,Validate_UndoMigration.json,Naveen,y,n
5,validate_PostMigrationValidation_One,NA,NA,validate_PostMigrationValidation_One.csv,n,Post migration validation,json,validate_PostMigrationValidation_One.json,validate_PostMigrationValidation_One.json,Naveen,y,y
6,Validate_LoanActivation,NA,NA,Validate_LoanActivation.csv,n,Activation,json,Validate_LoanActivation.json,Validate_LoanActivation.json,Naveen,n,y
7,validate_PostMigrationValidation_Two,NA,NA,validate_PostMigrationValidation_Two.csv,n,Post migration validation,json,validate_PostMigrationValidation_Two.json,validate_PostMigrationValidation_Two.json,Naveen,y,y
8,validate_PostMigrationValidation_Three,NA,NA,validate_PostMigrationValidation_Three.csv,n,Post migration validation,json,validate_PostMigrationValidation_Three.json,validate_PostMigrationValidation_Three.json,Naveen,y,y
9,validate_PostMigrationValidation_Four,NA,NA,validate_PostMigrationValidation_Four.csv,n,Post migration validation,json,validate_PostMigrationValidation_Four.json,validate_PostMigrationValidation_Four.json,Naveen,y,y
10,validate_PostMigrationValidation_Five,NA,NA,validate_PostMigrationValidation_Five.csv,n,Post migration validation,json,validate_PostMigrationValidation_Five.json,validate_PostMigrationValidation_Five.json,Naveen,y,y
11,validate_PostMigrationValidation_Six,NA,NA,validate_PostMigrationValidation_Six.csv,n,Post migration validation,json,validate_PostMigrationValidation_Six.json,validate_PostMigrationValidation_Six.json,Naveen,y,y
12,validate_PostMigrationValidation_Seven,NA,NA,validate_PostMigrationValidation_Seven.csv,n,Post migration validation,json,validate_PostMigrationValidation_Seven.json,validate_PostMigrationValidation_Seven.json,Naveen,y,y
13,validate_PostMigrationValidation_Eight,NA,NA,validate_PostMigrationValidation_Eight.csv,n,Post migration validation,json,validate_PostMigrationValidation_Eight.json,validate_PostMigrationValidation_Eight.json,Naveen,y,y
14,validate_PostMigrationValidation_Nine,NA,NA,validate_PostMigrationValidation_Nine.csv,n,Post migration validation,json,validate_PostMigrationValidation_Nine.json,validate_PostMigrationValidation_Nine.json,Naveen,y,y
15,validate_PostMigrationValidation_Ten,NA,NA,validate_PostMigrationValidation_Ten.csv,n,Post migration validation,json,validate_PostMigrationValidation_Ten.json,validate_PostMigrationValidation_Ten.json,Naveen,y,y
16,validate_PostMigrationValidation_Eleven,NA,NA,validate_PostMigrationValidation_Eleven.csv,n,Post migration validation,json,validate_PostMigrationValidation_Eleven.json,validate_PostMigrationValidation_Eleven.json,Naveen,y,y
17,validate_PostMigrationValidation_Twelve,NA,NA,validate_PostMigrationValidation_Twelve.csv,n,Post migration validation,json,validate_PostMigrationValidation_Twelve.json,validate_PostMigrationValidation_Twelve.json,Naveen,y,y
18,Validate_ActivationLoan_One,NA,NA,Validate_ActivationLoan_One.csv,n,Activation,json,Validate_ActivationLoan_One.json,Validate_ActivationLoan_One.json,Naveen,y,n
19,Validate_ActivationLoan_Two,NA,NA,Validate_ActivationLoan_Two.csv,n,Activation,json,Validate_ActivationLoan_Two.json,Validate_ActivationLoan_Two.json,Naveen,y,n
20,Validate_ActivationLoan_Three,NA,NA,Validate_ActivationLoan_Three.csv,n,Activation,json,Validate_ActivationLoan_Three.json,Validate_ActivationLoan_Three.json,Naveen,y,n
21,Validate_ActivationLoan_Four,NA,NA,Validate_ActivationLoan_Four.csv,n,Activation,json,Validate_ActivationLoan_Four.json,Validate_ActivationLoan_Four.json,Naveen,y,n
22,Validate_ActivationLoan_Five,NA,NA,Validate_ActivationLoan_Five.csv,n,Activation,json,Validate_ActivationLoan_Five.json,Validate_ActivationLoan_Five.json,Naveen,y,n
23,Validate_ActivationLoan_Six,NA,NA,Validate_ActivationLoan_Six.csv,n,Activation,json,Validate_ActivationLoan_Six.json,Validate_ActivationLoan_Six.json,Naveen,y,n
